Student_ID,Date,Attendance_Status
S0125,2024-01-01,Present
S0100,2024-01-02,Present
S0089,2024-01-03,Absent
S0011,2024-01-04,Present
S0054,2024-01-05,Present
S0027,2024-01-06,Present
S0058,2024-01-07,Present
S0177,2024-01-08,Present
S0097,2024-01-09,Present
S0006,2024-01-10,Present
S0127,2024-01-11,Present
S0160,2024-01-12,Present
S0142,2024-01-13,Present
S0063,2024-01-14,Present
S0003,2024-01-15,Present
S0082,2024-01-16,Present
S0045,2024-01-17,Present
S0169,2024-01-18,Absent
S0023,2024-01-19,Present
S0190,2024-01-20,Absent
S0130,2024-01-21,Present
S0031,2024-01-22,Absent
S0187,2024-01-23,Present
S0059,2024-01-24,Absent
S0142,2024-01-25,Present
S0084,2024-01-26,Present
S0097,2024-01-27,Present
S0095,2024-01-28,Present
S0092,2024-01-29,Present
S0029,2024-01-30,Absent
S0039,2024-01-31,Present
S0120,2024-02-01,Present
S0150,2024-02-02,Present
S0028,2024-02-03,Present
S0014,2024-02-04,Present
S0155,2024-02-05,Present
S0171,2024-02-06,Present
S0068,2024-02-07,Present
S0158,2024-02-08,Present
S0054,2024-02-09,Absent
S0001,2024-02-10,Present
S0146,2024-02-11,Present
S0168,2024-02-12,Present
S0116,2024-02-13,Absent
S0132,2024-02-14,Absent
S0174,2024-02-15,Present
S0090,2024-02-16,Absent
S0097,2024-02-17,Present
S0067,2024-02-18,Present
S0153,2024-02-19,Present
S0076,2024-02-20,Present
S0187,2024-02-21,Present
S0174,2024-02-22,Present
S0197,2024-02-23,Present
S0048,2024-02-24,Absent
S0077,2024-02-25,Present
S0172,2024-02-26,Present
S0083,2024-02-27,Present
S0064,2024-02-28,Present
S0095,2024-02-29,Present
S0183,2024-03-01,Present
S0077,2024-03-02,Present
S0198,2024-03-03,Present
S0159,2024-03-04,Present
S0131,2024-03-05,Present
S0031,2024-03-06,Present
S0193,2024-03-07,Present
S0026,2024-03-08,Present
S0194,2024-03-09,Present
S0067,2024-03-10,Present
S0021,2024-03-11,Present
S0170,2024-03-12,Present
S0020,2024-03-13,Absent
S0183,2024-03-14,Present
S0004,2024-03-15,Present
S0029,2024-03-16,Present
S0175,2024-03-17,Present
S0194,2024-03-18,Present
S0015,2024-03-19,Present
S0157,2024-03-20,Absent
S0054,2024-03-21,Present
S0125,2024-03-22,Present
S0080,2024-03-23,Present
S0017,2024-03-24,Present
S0066,2024-03-25,Present
S0135,2024-03-26,Present
S0107,2024-03-27,Present
S0191,2024-03-28,Absent
S0126,2024-03-29,Present
S0178,2024-03-30,Absent
S0098,2024-03-31,Present
S0109,2024-04-01,Present
S0124,2024-04-02,Present
S0047,2024-04-03,Present
S0137,2024-04-04,Present
S0058,2024-04-05,Present
S0046,2024-04-06,Present
S0019,2024-04-07,Present
S0196,2024-04-08,Present
S0153,2024-04-09,Present
S0141,2024-04-10,Present
S0021,2024-04-11,Present
S0034,2024-04-12,Present
S0060,2024-04-13,Present
S0006,2024-04-14,Present
S0065,2024-04-15,Present
S0012,2024-04-16,Present
S0072,2024-04-17,Absent
S0087,2024-04-18,Present
S0049,2024-04-19,Present
S0083,2024-04-20,Absent
S0137,2024-04-21,Present
S0037,2024-04-22,Present
S0036,2024-04-23,Present
S0122,2024-04-24,Present
S0077,2024-04-25,Present
S0137,2024-04-26,Present
S0100,2024-04-27,Present
S0117,2024-04-28,Present
S0047,2024-04-29,Present
S0128,2024-04-30,Present
S0092,2024-05-01,Present
S0134,2024-05-02,Present
S0180,2024-05-03,Present
S0094,2024-05-04,Present
S0058,2024-05-05,Present
S0110,2024-05-06,Present
S0015,2024-05-07,Present
S0190,2024-05-08,Present
S0198,2024-05-09,Present
S0060,2024-05-10,Present
S0193,2024-05-11,Present
S0139,2024-05-12,Present
S0092,2024-05-13,Present
S0061,2024-05-14,Absent
S0200,2024-05-15,Present
S0171,2024-05-16,Absent
S0022,2024-05-17,Present
S0077,2024-05-18,Present
S0072,2024-05-19,Present
S0060,2024-05-20,Present
S0140,2024-05-21,Present
S0005,2024-05-22,Present
S0167,2024-05-23,Present
S0080,2024-05-24,Present
S0002,2024-05-25,Absent
S0174,2024-05-26,Present
S0156,2024-05-27,Present
S0195,2024-05-28,Present
S0183,2024-05-29,Present
S0150,2024-05-30,Present
S0167,2024-05-31,Present
S0181,2024-06-01,Present
S0156,2024-06-02,Present
S0047,2024-06-03,Present
S0161,2024-06-04,Absent
S0044,2024-06-05,Present
S0039,2024-06-06,Present
S0051,2024-06-07,Present
S0152,2024-06-08,Present
S0154,2024-06-09,Present
S0137,2024-06-10,Present
S0028,2024-06-11,Present
S0020,2024-06-12,Present
S0126,2024-06-13,Absent
S0008,2024-06-14,Present
S0158,2024-06-15,Present
S0007,2024-06-16,Present
S0073,2024-06-17,Present
S0027,2024-06-18,Present
S0182,2024-06-19,Absent
S0066,2024-06-20,Present
S0084,2024-06-21,Absent
S0041,2024-06-22,Present
S0158,2024-06-23,Absent
S0176,2024-06-24,Present
S0074,2024-06-25,Present
S0101,2024-06-26,Present
S0055,2024-06-27,Present
S0033,2024-06-28,Present
S0183,2024-06-29,Present
S0189,2024-06-30,Present
S0194,2024-07-01,Present
S0060,2024-07-02,Present
S0175,2024-07-03,Present
S0161,2024-07-04,Present
S0094,2024-07-05,Present
S0016,2024-07-06,Present
S0151,2024-07-07,Absent
S0046,2024-07-08,Present
S0136,2024-07-09,Present
S0135,2024-07-10,Present
S0080,2024-07-11,Present
S0170,2024-07-12,Absent
S0112,2024-07-13,Present
S0019,2024-07-14,Present
S0079,2024-07-15,Absent
S0053,2024-07-16,Present
S0025,2024-07-17,Present
S0074,2024-07-18,Present
S0150,2024-07-19,Present
S0053,2024-07-20,Absent
S0077,2024-07-21,Present
S0128,2024-07-22,Absent
S0075,2024-07-23,Absent
S0135,2024-07-24,Absent
S0095,2024-07-25,Present
S0124,2024-07-26,Present
S0189,2024-07-27,Present
S0066,2024-07-28,Present
S0123,2024-07-29,Absent
S0130,2024-07-30,Present
S0128,2024-07-31,Present
S0093,2024-08-01,Present
S0141,2024-08-02,Absent
S0130,2024-08-03,Present
S0024,2024-08-04,Present
S0010,2024-08-05,Present
S0008,2024-08-06,Present
S0200,2024-08-07,Present
S0024,2024-08-08,Present
S0047,2024-08-09,Present
S0108,2024-08-10,Present
S0078,2024-08-11,Present
S0075,2024-08-12,Present
S0190,2024-08-13,Absent
S0140,2024-08-14,Absent
S0109,2024-08-15,Present
S0118,2024-08-16,Present
S0146,2024-08-17,Present
S0178,2024-08-18,Present
S0131,2024-08-19,Absent
S0167,2024-08-20,Present
S0124,2024-08-21,Present
S0188,2024-08-22,Present
S0056,2024-08-23,Present
S0139,2024-08-24,Present
S0044,2024-08-25,Present
S0089,2024-08-26,Present
S0048,2024-08-27,Present
S0073,2024-08-28,Present
S0197,2024-08-29,Present
S0074,2024-08-30,Present
S0181,2024-08-31,Absent
S0129,2024-09-01,Absent
S0013,2024-09-02,Absent
S0056,2024-09-03,Present
S0194,2024-09-04,Present
S0190,2024-09-05,Present
S0165,2024-09-06,Present
S0019,2024-09-07,Present
S0043,2024-09-08,Absent
S0128,2024-09-09,Present
S0195,2024-09-10,Present
S0011,2024-09-11,Present
S0067,2024-09-12,Absent
S0198,2024-09-13,Present
S0158,2024-09-14,Present
S0042,2024-09-15,Present
S0166,2024-09-16,Present
S0111,2024-09-17,Present
S0118,2024-09-18,Present
S0163,2024-09-19,Present
S0047,2024-09-20,Present
S0155,2024-09-21,Absent
S0158,2024-09-22,Present
S0120,2024-09-23,Present
S0056,2024-09-24,Present
S0197,2024-09-25,Present
S0198,2024-09-26,Present
S0109,2024-09-27,Present
S0160,2024-09-28,Absent
S0022,2024-09-29,Present
S0174,2024-09-30,Present
S0027,2024-10-01,Present
S0072,2024-10-02,Present
S0158,2024-10-03,Absent
S0118,2024-10-04,Present
S0004,2024-10-05,Present
S0054,2024-10-06,Present
S0026,2024-10-07,Present
S0085,2024-10-08,Present
S0023,2024-10-09,Absent
S0013,2024-10-10,Present
S0090,2024-10-11,Absent
S0073,2024-10-12,Present
S0119,2024-10-13,Present
S0091,2024-10-14,Present
S0045,2024-10-15,Present
S0124,2024-10-16,Present
S0146,2024-10-17,Present
S0182,2024-10-18,Present
S0132,2024-10-19,Present
S0061,2024-10-20,Present
S0129,2024-10-21,Present
S0007,2024-10-22,Present
S0200,2024-10-23,Absent
S0170,2024-10-24,Present
S0086,2024-10-25,Present
S0022,2024-10-26,Present
